kind,g,a,c,r,k,score,status
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.650407,0.430081,DENY
REAL,0.122137,0.759542,0.069414,0.395833,0.449612,0.359308,DENY
SWAP,0.160804,1.000000,0.069414,0.604167,0.449612,0.456799,DENY
SHUFFLE,0.122137,0.759542,0.069414,0.428571,0.034965,0.282926,DENY
IDENTITY,0.122137,1.000000,0.061069,0.500000,1.000000,0.536641,DENY
STRIP_CTX,0.000000,0.759542,0.000000,0.500000,0.449612,0.341831,DENY
REAL,0.004739,1.000000,0.002242,0.485294,0.644860,0.427427,DENY
SWAP,0.004255,0.897872,0.002242,0.514706,0.644860,0.412787,DENY
SHUFFLE,0.004739,1.000000,0.002242,0.488889,0.044776,0.308129,DENY
IDENTITY,0.004739,1.000000,0.002370,0.500000,1.000000,0.501422,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.644860,0.428972,DENY
REAL,0.048649,0.929730,0.025210,0.476190,0.523810,0.400718,DENY
SWAP,0.052326,1.000000,0.025210,0.523810,0.523810,0.425031,DENY
SHUFFLE,0.048649,0.929730,0.025210,0.481481,0.042373,0.305489,DENY
IDENTITY,0.048649,1.000000,0.024324,0.500000,1.000000,0.514595,DENY
STRIP_CTX,0.000000,0.929730,0.000000,0.500000,0.523810,0.390708,DENY
REAL,0.017588,0.977387,0.008895,0.484375,0.696721,0.436993,DENY
SWAP,0.017995,1.000000,0.008895,0.515625,0.696721,0.447847,DENY
SHUFFLE,0.017588,0.977387,0.008895,0.494565,0.090226,0.317732,DENY
IDENTITY,0.017588,1.000000,0.008794,0.500000,1.000000,0.505276,DENY
STRIP_CTX,0.000000,0.977387,0.000000,0.500000,0.696721,0.434822,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.615385,0.423077,DENY
SWAP,0.000000,0.473239,0.000000,0.500000,0.615385,0.317725,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.039683,0.307937,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.615385,0.423077,DENY
REAL,0.102041,1.000000,0.046729,0.481522,0.604396,0.446937,DENY
SWAP,0.086207,0.844828,0.046729,0.518478,0.604396,0.420127,DENY
SHUFFLE,0.102041,1.000000,0.046729,0.453571,0.034783,0.327425,DENY
IDENTITY,0.102041,1.000000,0.051020,0.500000,1.000000,0.530612,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.604396,0.420879,DENY
REAL,0.166667,1.000000,0.052897,0.473684,0.621951,0.463040,DENY
SWAP,0.077491,0.464945,0.052897,0.526316,0.621951,0.348720,DENY
SHUFFLE,0.166667,1.000000,0.052897,0.483871,0.036036,0.347894,DENY
IDENTITY,0.166667,1.000000,0.083333,0.500000,1.000000,0.550000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.621951,0.424390,DENY
REAL,0.012251,1.000000,0.005935,0.500000,0.809211,0.465479,DENY
SWAP,0.011511,0.939568,0.005935,0.500000,0.809211,0.453245,DENY
SHUFFLE,0.012251,1.000000,0.005935,0.483108,0.093567,0.318972,DENY
IDENTITY,0.012251,1.000000,0.006126,0.500000,1.000000,0.503675,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.809211,0.461842,DENY
REAL,0.034364,1.000000,0.016103,0.465116,0.620968,0.427310,DENY
SWAP,0.030303,0.881818,0.016103,0.534884,0.620968,0.416815,DENY
SHUFFLE,0.034364,1.000000,0.016103,0.451613,0.075342,0.315485,DENY
IDENTITY,0.034364,1.000000,0.017182,0.500000,1.000000,0.510309,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.620968,0.424194,DENY
REAL,0.021834,1.000000,0.010593,0.472973,0.675926,0.436265,DENY
SWAP,0.020576,0.942387,0.010593,0.527027,0.675926,0.435302,DENY
SHUFFLE,0.021834,1.000000,0.010593,0.490909,0.070866,0.318841,DENY
IDENTITY,0.021834,1.000000,0.010917,0.500000,1.000000,0.506550,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.675926,0.435185,DENY
REAL,0.021739,1.000000,0.010776,0.487500,0.611111,0.426225,DENY
SWAP,0.021368,0.982906,0.010776,0.512500,0.611111,0.427732,DENY
SHUFFLE,0.021739,1.000000,0.010776,0.491228,0.072000,0.319149,DENY
IDENTITY,0.021739,1.000000,0.010870,0.500000,1.000000,0.506522,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.611111,0.422222,DENY
REAL,0.102941,1.000000,0.041667,0.454545,0.555556,0.430942,DENY
SWAP,0.070000,0.680000,0.041667,0.545455,0.555556,0.378535,DENY
SHUFFLE,0.102941,1.000000,0.041667,0.343750,0.010309,0.299733,DENY
IDENTITY,0.102941,1.000000,0.051471,0.500000,1.000000,0.530882,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.555556,0.411111,DENY
REAL,0.027174,1.000000,0.012788,0.480769,0.580952,0.420337,DENY
SWAP,0.024155,0.888889,0.012788,0.519231,0.580952,0.405203,DENY
SHUFFLE,0.027174,1.000000,0.012788,0.460526,0.052239,0.310545,DENY
IDENTITY,0.027174,1.000000,0.013587,0.500000,1.000000,0.508152,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.580952,0.416190,DENY
REAL,0.066298,1.000000,0.032609,0.397059,0.547170,0.408627,DENY
SWAP,0.064171,0.967914,0.032609,0.602941,0.547170,0.442961,DENY
SHUFFLE,0.066298,1.000000,0.032609,0.425532,0.057377,0.316363,DENY
IDENTITY,0.066298,1.000000,0.033149,0.500000,1.000000,0.519890,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.547170,0.409434,DENY
REAL,0.027559,1.000000,0.013183,0.485714,0.616667,0.428625,DENY
SWAP,0.025271,0.916968,0.013183,0.514286,0.616667,0.417275,DENY
SHUFFLE,0.027559,1.000000,0.013183,0.461538,0.078571,0.316170,DENY
IDENTITY,0.027559,1.000000,0.013780,0.500000,1.000000,0.508268,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.616667,0.423333,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.738636,0.447727,DENY
SWAP,0.000000,0.905172,0.000000,0.500000,0.738636,0.428762,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.058824,0.311765,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.738636,0.447727,DENY
REAL,0.042683,1.000000,0.021084,0.419355,0.537736,0.404172,DENY
SWAP,0.041667,0.976190,0.021084,0.580645,0.537736,0.431464,DENY
SHUFFLE,0.042683,1.000000,0.021084,0.434211,0.029851,0.305566,DENY
IDENTITY,0.042683,1.000000,0.021341,0.500000,1.000000,0.512805,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.537736,0.407547,DENY
REAL,0.020710,0.825444,0.011345,0.493590,0.463576,0.362933,DENY
SWAP,0.025090,1.000000,0.011345,0.506410,0.463576,0.401284,DENY
SHUFFLE,0.020710,0.825444,0.011345,0.495000,0.052980,0.281096,DENY
IDENTITY,0.020710,1.000000,0.010355,0.500000,1.000000,0.506213,DENY
STRIP_CTX,0.000000,0.825444,0.000000,0.500000,0.463576,0.357804,DENY
REAL,0.005556,1.000000,0.002604,0.482759,0.611111,0.420406,DENY
SWAP,0.004902,0.882353,0.002604,0.517241,0.611111,0.403642,DENY
SHUFFLE,0.005556,1.000000,0.002604,0.487500,0.052632,0.309658,DENY
IDENTITY,0.005556,1.000000,0.002778,0.500000,1.000000,0.501667,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.611111,0.422222,DENY
REAL,0.092025,1.000000,0.043103,0.479167,0.606061,0.444071,DENY
SWAP,0.081081,0.881081,0.043103,0.520833,0.606061,0.426432,DENY
SHUFFLE,0.092025,1.000000,0.043103,0.407895,0.039062,0.316417,DENY
IDENTITY,0.092025,1.000000,0.046012,0.500000,1.000000,0.527607,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.606061,0.421212,DENY
REAL,0.036530,1.000000,0.017131,0.500000,0.612613,0.433255,DENY
SWAP,0.032258,0.883065,0.017131,0.500000,0.612613,0.409013,DENY
SHUFFLE,0.036530,1.000000,0.017131,0.460000,0.050725,0.312877,DENY
IDENTITY,0.036530,1.000000,0.018265,0.500000,1.000000,0.510959,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.612613,0.422523,DENY
REAL,0.059259,1.000000,0.028674,0.473684,0.500000,0.412323,DENY
SWAP,0.055556,0.937500,0.028674,0.526316,0.500000,0.409609,DENY
SHUFFLE,0.059259,1.000000,0.028674,0.464286,0.040984,0.318640,DENY
IDENTITY,0.059259,1.000000,0.029630,0.500000,1.000000,0.517778,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.500000,0.400000,DENY
REAL,0.270000,1.000000,0.123853,0.468750,0.550562,0.482633,DENY
SWAP,0.228814,0.847458,0.123853,0.531250,0.550562,0.456387,DENY
SHUFFLE,0.270000,1.000000,0.123853,0.250000,0.026316,0.334034,DENY
IDENTITY,0.270000,1.000000,0.135000,0.500000,1.000000,0.581000,ABSTAIN
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.550562,0.410112,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.660550,0.432110,DENY
SWAP,0.000000,0.888000,0.000000,0.500000,0.660550,0.409710,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.050360,0.310072,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.660550,0.432110,DENY
REAL,0.106796,1.000000,0.049774,0.470588,0.632911,0.452014,DENY
SWAP,0.093220,0.872881,0.049774,0.529412,0.632911,0.435640,DENY
SHUFFLE,0.106796,1.000000,0.049774,0.480769,0.028846,0.333237,DENY
IDENTITY,0.106796,1.000000,0.053398,0.500000,1.000000,0.532039,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.632911,0.426582,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.614458,0.422892,DENY
SWAP,0.000000,0.940397,0.000000,0.500000,0.614458,0.410971,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.048077,0.309615,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.614458,0.422892,DENY
REAL,0.013793,1.000000,0.006410,0.456522,0.490566,0.393458,DENY
SWAP,0.011976,0.868263,0.006410,0.543478,0.490566,0.384139,DENY
SHUFFLE,0.013793,1.000000,0.006410,0.468750,0.039683,0.305727,DENY
IDENTITY,0.013793,1.000000,0.006897,0.500000,1.000000,0.504138,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.490566,0.398113,DENY
REAL,0.125000,0.983333,0.063025,0.500000,0.537500,0.441772,DENY
SWAP,0.127119,1.000000,0.063025,0.500000,0.537500,0.445529,DENY
SHUFFLE,0.125000,0.983333,0.063025,0.462963,0.048544,0.336573,DENY
IDENTITY,0.125000,1.000000,0.062500,0.500000,1.000000,0.537500,DENY
STRIP_CTX,0.000000,0.983333,0.000000,0.500000,0.537500,0.404167,DENY
REAL,0.009804,1.000000,0.004329,0.482143,0.605042,0.420264,DENY
SWAP,0.007752,0.790698,0.004329,0.517857,0.605042,0.385136,DENY
SHUFFLE,0.009804,1.000000,0.004329,0.500000,0.059603,0.314747,DENY
IDENTITY,0.009804,1.000000,0.004902,0.500000,1.000000,0.502941,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.605042,0.421008,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.553398,0.410680,DENY
SWAP,0.000000,0.870056,0.000000,0.500000,0.553398,0.384691,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.064000,0.312800,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.553398,0.410680,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.530000,0.406000,DENY
SWAP,0.000000,0.867925,0.000000,0.500000,0.530000,0.379585,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.049180,0.309836,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.530000,0.406000,DENY
REAL,0.041667,1.000000,0.019391,0.420000,0.663158,0.428843,DENY
SWAP,0.036269,0.870466,0.019391,0.580000,0.663158,0.433857,DENY
SHUFFLE,0.041667,1.000000,0.019391,0.450000,0.057377,0.313687,DENY
IDENTITY,0.041667,1.000000,0.020833,0.500000,1.000000,0.512500,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.663158,0.432632,DENY
REAL,0.041916,1.000000,0.020231,0.451613,0.555556,0.413863,DENY
SWAP,0.039106,0.932961,0.020231,0.548387,0.555556,0.419248,DENY
SHUFFLE,0.041916,1.000000,0.020231,0.487805,0.060345,0.322059,DENY
IDENTITY,0.041916,1.000000,0.020958,0.500000,1.000000,0.512575,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.555556,0.411111,DENY
REAL,0.039216,0.931373,0.020305,0.450980,0.470085,0.382392,DENY
SWAP,0.042105,1.000000,0.020305,0.549020,0.470085,0.416303,DENY
SHUFFLE,0.039216,0.931373,0.020305,0.461538,0.040650,0.298616,DENY
IDENTITY,0.039216,1.000000,0.019608,0.500000,1.000000,0.511765,DENY
STRIP_CTX,0.000000,0.931373,0.000000,0.500000,0.470085,0.380292,DENY
REAL,0.065844,0.954733,0.033684,0.411111,0.614035,0.415881,DENY
SWAP,0.068966,1.000000,0.033684,0.588889,0.614035,0.461115,DENY
SHUFFLE,0.065844,0.954733,0.033684,0.426230,0.045113,0.305121,DENY
IDENTITY,0.065844,1.000000,0.032922,0.500000,1.000000,0.519753,DENY
STRIP_CTX,0.000000,0.954733,0.000000,0.500000,0.614035,0.413754,DENY
REAL,0.063636,1.000000,0.030435,0.452381,0.542169,0.417724,DENY
SWAP,0.058333,0.916667,0.030435,0.547619,0.542169,0.419045,DENY
SHUFFLE,0.063636,1.000000,0.030435,0.482759,0.029126,0.321191,DENY
IDENTITY,0.063636,1.000000,0.031818,0.500000,1.000000,0.519091,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.542169,0.408434,DENY
REAL,0.058091,0.991701,0.029167,0.392857,0.675439,0.429451,DENY
SWAP,0.058577,1.000000,0.029167,0.607143,0.675439,0.474065,DENY
SHUFFLE,0.058091,0.991701,0.029167,0.416667,0.044444,0.308014,DENY
IDENTITY,0.058091,1.000000,0.029046,0.500000,1.000000,0.517427,DENY
STRIP_CTX,0.000000,0.991701,0.000000,0.500000,0.675439,0.433428,DENY
REAL,1.000000,1.000000,0.715054,0.312500,0.380435,0.681598,ALLOW
SWAP,1.000000,0.690909,0.715054,0.687500,0.380435,0.694780,ALLOW
SHUFFLE,1.000000,1.000000,0.715054,0.159091,0.046296,0.584088,ABSTAIN
IDENTITY,1.000000,1.000000,0.875000,0.500000,1.000000,0.875000,ALLOW
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.380435,0.376087,DENY
REAL,0.052632,1.000000,0.023729,0.500000,0.550000,0.425272,DENY
SWAP,0.043210,0.820988,0.023729,0.500000,0.550000,0.387585,DENY
SHUFFLE,0.052632,1.000000,0.023729,0.407407,0.030769,0.302907,DENY
IDENTITY,0.052632,1.000000,0.026316,0.500000,1.000000,0.515789,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.550000,0.410000,DENY
REAL,0.047170,1.000000,0.023474,0.456522,0.548780,0.415189,DENY
SWAP,0.046729,0.990654,0.023474,0.543478,0.548780,0.430623,DENY
SHUFFLE,0.047170,1.000000,0.023474,0.482143,0.030000,0.316557,DENY
IDENTITY,0.047170,1.000000,0.023585,0.500000,1.000000,0.514151,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.548780,0.409756,DENY
REAL,0.064220,0.899083,0.033816,0.413793,0.415584,0.365299,DENY
SWAP,0.071429,1.000000,0.033816,0.586207,0.415584,0.421407,DENY
SHUFFLE,0.064220,0.899083,0.033816,0.430556,0.035714,0.292678,DENY
IDENTITY,0.064220,1.000000,0.032110,0.500000,1.000000,0.519266,DENY
STRIP_CTX,0.000000,0.899083,0.000000,0.500000,0.415584,0.362933,DENY
REAL,1.000000,1.000000,0.706004,0.400000,0.443662,0.709933,ALLOW
SWAP,1.000000,0.857692,0.706004,0.600000,0.443662,0.721472,ALLOW
SHUFFLE,1.000000,1.000000,0.706004,0.250000,0.043478,0.599896,ABSTAIN
IDENTITY,1.000000,1.000000,0.764574,0.500000,1.000000,0.852915,ALLOW
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.443662,0.388732,DENY
REAL,0.067961,1.000000,0.032710,0.468750,0.570175,0.427919,DENY
SWAP,0.063063,0.927928,0.032710,0.531250,0.570175,0.425025,DENY
SHUFFLE,0.067961,1.000000,0.032710,0.430233,0.050000,0.316181,DENY
IDENTITY,0.067961,1.000000,0.033981,0.500000,1.000000,0.520388,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.570175,0.414035,DENY
REAL,1.000000,1.000000,0.618902,0.434783,0.472222,0.705181,ALLOW
SWAP,1.000000,0.754011,0.618902,0.565217,0.472222,0.682071,ALLOW
SHUFFLE,1.000000,1.000000,0.618902,0.196970,0.045802,0.572335,ABSTAIN
IDENTITY,1.000000,1.000000,0.719858,0.500000,1.000000,0.843972,ALLOW
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.472222,0.394444,DENY
REAL,1.000000,1.000000,0.507246,0.342105,0.500000,0.669870,ABSTAIN
SWAP,0.921053,0.815789,0.507246,0.657895,0.500000,0.680397,ALLOW
SHUFFLE,1.000000,1.000000,0.507246,0.211538,0.018182,0.547393,DENY
IDENTITY,1.000000,1.000000,0.564516,0.500000,1.000000,0.812903,ALLOW
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.500000,0.400000,DENY
REAL,0.051095,1.000000,0.022727,0.476190,0.595745,0.429151,DENY
SWAP,0.040936,0.801170,0.022727,0.523810,0.595745,0.396877,DENY
SHUFFLE,0.051095,1.000000,0.022727,0.416667,0.056911,0.309480,DENY
IDENTITY,0.051095,1.000000,0.025547,0.500000,1.000000,0.515328,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.595745,0.419149,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.605263,0.421053,DENY
SWAP,0.000000,0.962963,0.000000,0.500000,0.605263,0.413645,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.037313,0.307463,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.605263,0.421053,DENY
REAL,0.009569,0.693780,0.005650,0.481481,0.308271,0.299750,DENY
SWAP,0.013793,1.000000,0.005650,0.518519,0.308271,0.369246,DENY
SHUFFLE,0.009569,0.693780,0.005650,0.483871,0.032520,0.245078,DENY
IDENTITY,0.009569,1.000000,0.004785,0.500000,1.000000,0.502871,DENY
STRIP_CTX,0.000000,0.693780,0.000000,0.500000,0.308271,0.300410,DENY
REAL,0.118721,1.000000,0.055085,0.500000,0.744681,0.483697,DENY
SWAP,0.102767,0.865613,0.055085,0.500000,0.744681,0.453629,DENY
SHUFFLE,0.118721,1.000000,0.055085,0.446809,0.064000,0.336923,DENY
IDENTITY,0.118721,1.000000,0.059361,0.500000,1.000000,0.535616,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.744681,0.448936,DENY
REAL,0.007299,1.000000,0.003425,0.476190,0.610000,0.419383,DENY
SWAP,0.006452,0.883871,0.003425,0.523810,0.610000,0.405511,DENY
SHUFFLE,0.007299,1.000000,0.003425,0.482143,0.037594,0.306092,DENY
IDENTITY,0.007299,1.000000,0.003650,0.500000,1.000000,0.502190,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.610000,0.422000,DENY
REAL,0.055556,1.000000,0.026253,0.500000,0.684783,0.453318,DENY
SWAP,0.049774,0.895928,0.026253,0.500000,0.684783,0.431347,DENY
SHUFFLE,0.055556,1.000000,0.026253,0.426829,0.069565,0.315641,DENY
IDENTITY,0.055556,1.000000,0.027778,0.500000,1.000000,0.516667,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.684783,0.436957,DENY
REAL,0.055838,1.000000,0.026253,0.500000,0.720430,0.460504,DENY
SWAP,0.049550,0.887387,0.026253,0.500000,0.720430,0.436724,DENY
SHUFFLE,0.055838,1.000000,0.026253,0.425000,0.067227,0.314863,DENY
IDENTITY,0.055838,1.000000,0.027919,0.500000,1.000000,0.516751,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.720430,0.444086,DENY
REAL,0.021552,0.978448,0.010893,0.465909,0.560345,0.407429,DENY
SWAP,0.022026,1.000000,0.010893,0.534091,0.560345,0.425471,DENY
SHUFFLE,0.021552,0.978448,0.010893,0.475806,0.054688,0.308277,DENY
IDENTITY,0.021552,1.000000,0.010776,0.500000,1.000000,0.506466,DENY
STRIP_CTX,0.000000,0.978448,0.000000,0.500000,0.560345,0.407759,DENY
REAL,0.000000,0.939799,0.000000,0.500000,0.485714,0.385103,DENY
SWAP,0.000000,1.000000,0.000000,0.500000,0.485714,0.397143,DENY
SHUFFLE,0.000000,0.939799,0.000000,0.500000,0.049645,0.297889,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,0.939799,0.000000,0.500000,0.485714,0.385103,DENY
REAL,0.032110,1.000000,0.015453,0.472973,0.575221,0.419151,DENY
SWAP,0.029787,0.927660,0.015453,0.527027,0.575221,0.415030,DENY
SHUFFLE,0.032110,1.000000,0.015453,0.490196,0.059701,0.319492,DENY
IDENTITY,0.032110,1.000000,0.016055,0.500000,1.000000,0.509633,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.575221,0.415044,DENY
REAL,0.072993,1.000000,0.033784,0.458333,0.588235,0.430669,DENY
SWAP,0.062893,0.861635,0.033784,0.541667,0.588235,0.417643,DENY
SHUFFLE,0.072993,1.000000,0.033784,0.457143,0.047170,0.322218,DENY
IDENTITY,0.072993,1.000000,0.036496,0.500000,1.000000,0.521898,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.588235,0.417647,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.596154,0.419231,DENY
SWAP,0.000000,0.974490,0.000000,0.500000,0.596154,0.414129,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.064000,0.312800,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.596154,0.419231,DENY
REAL,0.159420,1.000000,0.074074,0.500000,0.494949,0.445689,DENY
SWAP,0.138365,0.867925,0.074074,0.500000,0.494949,0.415063,DENY
SHUFFLE,0.159420,1.000000,0.074074,0.342857,0.032000,0.321670,DENY
IDENTITY,0.159420,1.000000,0.079710,0.500000,1.000000,0.547826,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.494949,0.398990,DENY
REAL,0.095506,0.932584,0.049419,0.501744,0.495050,0.414860,DENY
SWAP,0.102410,1.000000,0.049419,0.498256,0.495050,0.429027,DENY
SHUFFLE,0.095506,0.932584,0.049419,0.505769,0.026087,0.321873,DENY
IDENTITY,0.095506,1.000000,0.047753,0.500000,1.000000,0.528652,DENY
STRIP_CTX,0.000000,0.932584,0.000000,0.500000,0.495050,0.385527,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.805556,0.461111,DENY
SWAP,0.000000,0.936232,0.000000,0.500000,0.805556,0.448357,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.074627,0.314925,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.805556,0.461111,DENY
REAL,0.104265,0.990521,0.052381,0.337500,0.577982,0.412530,DENY
SWAP,0.105263,1.000000,0.052381,0.662500,0.577982,0.479625,DENY
SHUFFLE,0.104265,0.990521,0.052381,0.401786,0.047619,0.319314,DENY
IDENTITY,0.104265,1.000000,0.052133,0.500000,1.000000,0.531280,DENY
STRIP_CTX,0.000000,0.990521,0.000000,0.500000,0.577982,0.413701,DENY
REAL,0.048611,1.000000,0.022508,0.403846,0.602041,0.415401,DENY
SWAP,0.041916,0.862275,0.022508,0.596154,0.602041,0.424979,DENY
SHUFFLE,0.048611,1.000000,0.022508,0.424242,0.032000,0.305472,DENY
IDENTITY,0.048611,1.000000,0.024306,0.500000,1.000000,0.514583,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.602041,0.420408,DENY
REAL,0.036810,0.914110,0.019231,0.459016,0.528986,0.391631,DENY
SWAP,0.040268,1.000000,0.019231,0.540984,0.528986,0.425894,DENY
SHUFFLE,0.036810,0.914110,0.019231,0.468750,0.071895,0.302159,DENY
IDENTITY,0.036810,1.000000,0.018405,0.500000,1.000000,0.511043,DENY
STRIP_CTX,0.000000,0.914110,0.000000,0.500000,0.528986,0.388619,DENY
REAL,0.050980,1.000000,0.023985,0.445946,0.554622,0.415107,DENY
SWAP,0.045296,0.888502,0.023985,0.554054,0.554622,0.413292,DENY
SHUFFLE,0.050980,1.000000,0.023985,0.475410,0.058394,0.321754,DENY
IDENTITY,0.050980,1.000000,0.025490,0.500000,1.000000,0.515294,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.554622,0.410924,DENY
REAL,0.069930,1.000000,0.032362,0.460000,0.531915,0.418841,DENY
SWAP,0.060241,0.861446,0.032362,0.540000,0.531915,0.405193,DENY
SHUFFLE,0.069930,1.000000,0.032362,0.457143,0.064220,0.324731,DENY
IDENTITY,0.069930,1.000000,0.034965,0.500000,1.000000,0.520979,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.531915,0.406383,DENY
REAL,0.000000,0.822289,0.000000,0.500000,0.595238,0.383505,DENY
SWAP,0.000000,1.000000,0.000000,0.500000,0.595238,0.419048,DENY
SHUFFLE,0.000000,0.822289,0.000000,0.500000,0.059701,0.276398,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,0.822289,0.000000,0.500000,0.595238,0.383505,DENY
REAL,0.015837,0.911765,0.008284,0.492754,0.597403,0.405208,DENY
SWAP,0.017370,1.000000,0.008284,0.507246,0.597403,0.426061,DENY
SHUFFLE,0.015837,0.911765,0.008284,0.494898,0.063218,0.298800,DENY
IDENTITY,0.015837,1.000000,0.007919,0.500000,1.000000,0.504751,DENY
STRIP_CTX,0.000000,0.911765,0.000000,0.500000,0.597403,0.401833,DENY
REAL,0.459677,1.000000,0.211896,0.311111,0.440000,0.484537,DENY
SWAP,0.393103,0.855172,0.211896,0.688889,0.440000,0.517812,DENY
SHUFFLE,0.459677,1.000000,0.211896,0.269444,0.026316,0.393467,DENY
IDENTITY,0.459677,1.000000,0.229839,0.500000,1.000000,0.637903,ABSTAIN
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.440000,0.388000,DENY
REAL,0.050505,1.000000,0.024272,0.409091,0.547826,0.406339,DENY
SWAP,0.046729,0.925234,0.024272,0.590909,0.547826,0.426994,DENY
