kind,g,a,c,r,k,score,status
IDENTITY,0.025455,1.000000,0.012727,0.500000,1.000000,0.507636,DENY
STRIP_CTX,0.000000,0.996364,0.000000,0.500000,0.533333,0.405939,DENY
REAL,0.014894,1.000000,0.007121,0.482301,0.506494,0.402162,DENY
SWAP,0.013645,0.916179,0.007121,0.517699,0.506494,0.392228,DENY
SHUFFLE,0.014894,1.000000,0.007121,0.485612,0.055556,0.312636,DENY
IDENTITY,0.014894,1.000000,0.007447,0.500000,1.000000,0.504468,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.506494,0.401299,DENY
REAL,0.021605,1.000000,0.010526,0.476744,0.571429,0.416061,DENY
SWAP,0.020528,0.950147,0.010526,0.523256,0.571429,0.415177,DENY
SHUFFLE,0.021605,1.000000,0.010526,0.462121,0.069182,0.312687,DENY
IDENTITY,0.021605,1.000000,0.010802,0.500000,1.000000,0.506481,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.571429,0.414286,DENY
REAL,0.283422,0.850267,0.153179,0.372340,0.476190,0.427080,DENY
SWAP,0.333333,1.000000,0.153179,0.627660,0.476190,0.518073,DENY
SHUFFLE,0.283422,0.850267,0.153179,0.362069,0.034483,0.336684,DENY
IDENTITY,0.283422,1.000000,0.141711,0.500000,1.000000,0.585027,ABSTAIN
STRIP_CTX,0.000000,0.850267,0.000000,0.500000,0.476190,0.365292,DENY
REAL,0.121359,1.000000,0.056689,0.500000,0.693069,0.474224,DENY
SWAP,0.106383,0.876596,0.056689,0.500000,0.693069,0.446547,DENY
SHUFFLE,0.121359,1.000000,0.056689,0.340909,0.061069,0.316005,DENY
IDENTITY,0.121359,1.000000,0.060680,0.500000,1.000000,0.536408,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.693069,0.438614,DENY
REAL,0.033113,1.000000,0.016026,0.442308,0.588235,0.415936,DENY
SWAP,0.031056,0.937888,0.016026,0.557692,0.588235,0.426179,DENY
SHUFFLE,0.033113,1.000000,0.016026,0.461538,0.080808,0.318297,DENY
IDENTITY,0.033113,1.000000,0.016556,0.500000,1.000000,0.509934,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.588235,0.417647,DENY
REAL,0.000000,0.315712,0.000000,0.500000,0.486111,0.260365,DENY
SWAP,0.000000,1.000000,0.000000,0.500000,0.486111,0.397222,DENY
SHUFFLE,0.000000,0.315712,0.000000,0.500000,0.070866,0.177316,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,0.315712,0.000000,0.500000,0.486111,0.260365,DENY
REAL,0.000000,0.916667,0.000000,0.500000,0.465347,0.376403,DENY
SWAP,0.000000,1.000000,0.000000,0.500000,0.465347,0.393069,DENY
SHUFFLE,0.000000,0.916667,0.000000,0.500000,0.017391,0.286812,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,0.916667,0.000000,0.500000,0.465347,0.376403,DENY
REAL,0.045045,1.000000,0.018657,0.500000,0.602151,0.433170,DENY
SWAP,0.031847,0.707006,0.018657,0.500000,0.602151,0.371932,DENY
SHUFFLE,0.045045,1.000000,0.018657,0.434783,0.032258,0.306148,DENY
IDENTITY,0.045045,1.000000,0.022523,0.500000,1.000000,0.513514,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.602151,0.420430,DENY
REAL,0.021552,1.000000,0.010616,0.461538,0.663366,0.431414,DENY
SWAP,0.020921,0.970711,0.010616,0.538462,0.663366,0.440815,DENY
SHUFFLE,0.021552,1.000000,0.010616,0.472222,0.066667,0.314211,DENY
IDENTITY,0.021552,1.000000,0.010776,0.500000,1.000000,0.506466,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.663366,0.432673,DENY
REAL,0.005051,1.000000,0.002513,0.486111,0.571429,0.413021,DENY
SWAP,0.005000,0.990000,0.002513,0.513889,0.571429,0.416566,DENY
SHUFFLE,0.005051,1.000000,0.002513,0.490000,0.063492,0.312211,DENY
IDENTITY,0.005051,1.000000,0.002525,0.500000,1.000000,0.501515,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.571429,0.414286,DENY
REAL,0.004484,1.000000,0.002092,0.500000,0.691589,0.439633,DENY
SWAP,0.003922,0.874510,0.002092,0.500000,0.691589,0.414422,DENY
SHUFFLE,0.004484,1.000000,0.002092,0.489362,0.058394,0.310866,DENY
IDENTITY,0.004484,1.000000,0.002242,0.500000,1.000000,0.501345,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.691589,0.438318,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.536364,0.407273,DENY
SWAP,0.000000,0.880208,0.000000,0.500000,0.536364,0.383314,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.037594,0.307519,DENY
IDENTITY,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.536364,0.407273,DENY
REAL,0.074074,1.000000,0.032000,0.500000,0.641975,0.449610,DENY
SWAP,0.056338,0.760563,0.032000,0.500000,0.641975,0.398175,DENY
SHUFFLE,0.074074,1.000000,0.032000,0.409091,0.036697,0.310372,DENY
IDENTITY,0.074074,1.000000,0.037037,0.500000,1.000000,0.522222,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.641975,0.428395,DENY
REAL,0.058824,1.000000,0.026144,0.500000,0.655172,0.448028,DENY
SWAP,0.047059,0.800000,0.026144,0.500000,0.655172,0.405675,DENY
SHUFFLE,0.058824,1.000000,0.026144,0.428571,0.033898,0.309487,DENY
IDENTITY,0.058824,1.000000,0.029412,0.500000,1.000000,0.517647,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.655172,0.431034,DENY
REAL,0.034965,1.000000,0.015625,0.500000,0.700000,0.450118,DENY
SWAP,0.028249,0.807910,0.015625,0.500000,0.700000,0.410357,DENY
SHUFFLE,0.034965,1.000000,0.015625,0.451613,0.044643,0.309369,DENY
IDENTITY,0.034965,1.000000,0.017483,0.500000,1.000000,0.510490,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.700000,0.440000,DENY
REAL,0.112676,1.000000,0.056140,0.357143,0.611765,0.427545,DENY
SWAP,0.111888,0.993007,0.056140,0.642857,0.611765,0.483131,DENY
SHUFFLE,0.112676,1.000000,0.056140,0.394737,0.048544,0.322419,DENY
IDENTITY,0.112676,1.000000,0.056338,0.500000,1.000000,0.533803,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.611765,0.422353,DENY
REAL,0.544828,1.000000,0.246875,0.400000,0.456311,0.529603,DENY
SWAP,0.451429,0.828571,0.246875,0.600000,0.456311,0.516637,DENY
SHUFFLE,0.544828,1.000000,0.246875,0.223684,0.057851,0.414648,DENY
IDENTITY,0.544828,1.000000,0.272414,0.500000,1.000000,0.663448,ABSTAIN
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.456311,0.391262,DENY
REAL,0.036496,1.000000,0.016129,0.500000,0.695122,0.449549,DENY
SWAP,0.028902,0.791908,0.016129,0.500000,0.695122,0.406412,DENY
SHUFFLE,0.036496,1.000000,0.016129,0.451613,0.052632,0.311374,DENY
IDENTITY,0.036496,1.000000,0.018248,0.500000,1.000000,0.510949,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.695122,0.439024,DENY
REAL,0.033784,1.000000,0.016367,0.500000,0.645161,0.439062,DENY
SWAP,0.031746,0.939683,0.016367,0.500000,0.645161,0.426591,DENY
SHUFFLE,0.033784,1.000000,0.016367,0.446154,0.068493,0.312959,DENY
IDENTITY,0.033784,1.000000,0.016892,0.500000,1.000000,0.510135,DENY
STRIP_CTX,0.000000,1.000000,0.000000,0.500000,0.645161,0.429032,DENY
REAL,0.000000,1.000000,0.000000,0.500000,0.735294,0.447059,DENY
SWAP,0.000000,0.934783,0.000000,0.500000,0.735294,0.434015,DENY
SHUFFLE,0.000000,1.000000,0.000000,0.500000,0.080000,0.316000,DENY
