kind,status,count
REAL,ABSTAIN,57
REAL,ALLOW,18
REAL,DENY,7925
SHUFFLE,ABSTAIN,57
SHUFFLE,ALLOW,18
SHUFFLE,DENY,7925
SWAP,ABSTAIN,57
SWAP,ALLOW,18
SWAP,DENY,7925
